inventor_id,partner_list,partner_count,deg_centrality,close_centrality,bet_centrality,page_rank,GMI1yr_prevexpabroad
4678718-1,[],0,0.0,0.0,0.0,0.005000009426757861,0
4911768-1,"['4911768-2', '4911768-3']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
4911768-2,"['4911768-1', '4911768-3']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
4911768-3,"['4911768-1', '4911768-2']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
6231693-3,[],0,0.0,0.0,0.0,0.005000009426757861,0
6681838-1,"['6681838-4', '6681838-3', '6681838-2']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6681838-3,"['6681838-4', '6681838-1', '6681838-2']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6681838-4,"['6681838-1', '6681838-3', '6681838-2']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6681838-2,"['6681838-4', '6681838-1', '6681838-3']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6934598-1,[],0,0.0,0.0,0.0,0.005000009426757861,0
7915560-5,[],0,0.0,0.0,0.0,0.005000009426757861,0
6809289-1,"['6809289-3', '6809289-2']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
6809289-2,"['6809289-1', '6809289-3']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
6809289-3,"['6809289-1', '6809289-2']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
7401725-4,"['7245458-3', '7245458-2', '6847507-3']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7245458-2,"['7401725-4', '7245458-3', '6847507-3']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7245458-3,"['7401725-4', '6847507-3', '7245458-2']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6847507-3,"['7401725-4', '7245458-3', '7245458-2']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
6831778-3,[],0,0.0,0.0,0.0,0.005000009426757861,0
6983872-3,"['6386422-2', '5897048-1']",2,0.0425531914893617,0.06648936170212766,0.0,0.018873386658590202,0
6386422-2,"['6983872-3', '5897048-1']",2,0.0425531914893617,0.06648936170212766,0.0,0.018873386658590202,1
5897048-1,"['6983872-3', '6386422-2', '7726540-4', '6386422-3', '7147721-3']",5,0.10638297872340426,0.10638297872340426,0.005550416281221092,0.03949962468222989,1
4628181-3,[],0,0.0,0.0,0.0,0.005000009426757861,0
7458495-6,"['7458495-5', '6991967-1', '6991967-2', '7329617-2', '5942838-2']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,0
7458495-5,"['6991967-1', '6991967-2', '7329617-2', '7458495-6', '5942838-2']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,0
7329617-2,"['7458495-5', '6991967-1', '6991967-2', '7458495-6', '5942838-2']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,0
6991967-2,"['7458495-5', '6991967-1', '7329617-2', '7458495-6', '5942838-2']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,0
6991967-1,"['7458495-5', '6991967-2', '7329617-2', '7458495-6', '5942838-2']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,0
5942838-2,"['7458495-5', '6991967-1', '6991967-2', '7329617-2', '7458495-6']",5,0.10638297872340426,0.10638297872340426,0.0,0.02499999751927426,1
7801049-1,[],0,0.0,0.0,0.0,0.005000009426757861,0
6953925-3,[],0,0.0,0.0,0.0,0.005000009426757861,0
6816373-4,"['7047640-3', '7047640-5']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
7047640-3,"['6816373-4', '7047640-5']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
7047640-5,"['6816373-4', '7047640-3']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
6386422-3,"['7147721-3', '5897048-1', '7726540-4']",3,0.06382978723404255,0.07598784194528875,0.0,0.024251195705411722,1
7726540-4,"['7147721-3', '5897048-1', '6386422-3']",3,0.06382978723404255,0.07598784194528875,0.0,0.024251195705411722,0
7147721-3,"['5897048-1', '6386422-3', '7726540-4']",3,0.06382978723404255,0.07598784194528875,0.0,0.024251195705411722,0
7528342-1,[],0,0.0,0.0,0.0,0.005000009426757861,0
7698305-3,[],0,0.0,0.0,0.0,0.005000009426757861,0
7150799-1,['7718917-3'],1,0.02127659574468085,0.02127659574468085,0.0,0.024999997519274248,0
7718917-3,['7150799-1'],1,0.02127659574468085,0.02127659574468085,0.0,0.024999997519274248,0
7985374-2,"['7985374-3', '7985374-4', '7985374-1']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7985374-3,"['7985374-2', '7985374-4', '7985374-1']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7985374-4,"['7985374-2', '7985374-3', '7985374-1']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7985374-1,"['7985374-2', '7985374-3', '7985374-4']",3,0.06382978723404255,0.06382978723404255,0.0,0.024999997519274245,0
7820940-5,"['5901082-1', '7820940-4']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
7820940-4,"['7820940-5', '5901082-1']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
5901082-1,"['7820940-5', '7820940-4']",2,0.0425531914893617,0.0425531914893617,0.0,0.024999997519274248,0
